stained_absorbance,unstained_absorbance,stained_hue,unstained_hue,image,cell_type
0.664,0.221,123,205,021-05-04_WT_7_unstained,XF
0.630,0.174,124,182,021-05-04_WT_7_unstained,XF
0.606,0.173,124,170,021-05-04_WT_7_unstained,XF
0.628,0.180,124,84,021-05-04_WT_7_unstained,XF
0.648,0.188,124,195,021-05-04_WT_7_unstained,XF
0.609,0.201,125,177,021-05-04_WT_7_unstained,XF
0.620,0.199,123,159,021-05-04_WT_7_unstained,XF
0.593,0.185,124,142,021-05-04_WT_7_unstained,XF
0.581,0.174,124,155,021-05-04_WT_7_unstained,XF
0.621,0.179,124,194,021-05-04_WT_7_unstained,XF
0.644,0.219,124,183,021-05-04_WT_7_unstained,XF
0.627,0.171,124,153,021-05-04_WT_7_unstained,XF
0.658,0.218,123,179,021-05-04_WT_7_unstained,XF
0.633,0.220,124,144,021-05-04_WT_7_unstained,XF-CML
0.667,0.237,124,191,021-05-04_WT_7_unstained,XF-CML
0.646,0.184,124,144,021-05-04_WT_7_unstained,XF-CML
0.654,0.228,123,146,021-05-04_WT_7_unstained,XF-CML
0.588,0.140,124,143,021-05-04_WT_7_unstained,XF-CML
0.600,0.152,124,184,021-05-04_WT_7_unstained,XF-CML
0.614,0.131,124,162,021-05-04_WT_7_unstained,XF-CML
0.604,0.156,125,138,021-05-04_WT_7_unstained,XF-CML
0.621,0.190,124,95,021-05-04_WT_7_unstained,XF-CML
0.611,0.173,125,135,021-05-04_WT_7_unstained,XF-CML
0.583,0.145,124,149,021-05-04_WT_7_unstained,XF-CML
0.609,0.188,124,108,021-05-04_WT_7_unstained,XF-CML
0.578,0.132,125,141,021-05-04_WT_7_unstained,XF-CML
0.595,0.161,124,128,021-05-04_WT_7_unstained,XF-CML
0.577,0.135,125,154,021-05-04_WT_7_unstained,XF-CML
0.566,0.109,124,97,021-05-04_WT_7_unstained,XF-CML
0.577,0.125,124,146,021-05-04_WT_7_unstained,XF-CML
0.600,0.158,125,54,021-05-04_WT_7_unstained,XF-CML
0.534,0.106,125,119,021-05-04_WT_7_unstained,XF-CML
0.560,0.117,125,111,021-05-04_WT_7_unstained,XF-CML
0.543,0.122,121,255,021-05-04_WT_7_unstained,IF
0.524,0.119,120,121,021-05-04_WT_7_unstained,IF
0.506,0.101,121,70,021-05-04_WT_7_unstained,IF
0.555,0.177,121,116,021-05-04_WT_7_unstained,IF
0.552,0.073,122,170,021-05-04_WT_7_unstained,IF
0.555,0.124,121,67,021-05-04_WT_7_unstained,IF
0.572,0.102,121,138,021-05-04_WT_7_unstained,IF
0.561,0.116,121,204,021-05-04_WT_7_unstained,IF
0.553,0.131,122,191,021-05-04_WT_7_unstained,IF
0.506,0.147,120,159,021-05-04_WT_7_unstained,IF
0.537,0.171,119,191,021-05-04_WT_7_unstained,IF
0.537,0.140,120,42,021-05-04_WT_7_unstained,IF
0.556,0.149,121,138,021-05-04_WT_7_unstained,IF
0.541,0.119,121,128,021-05-04_WT_7_unstained,IF
0.595,0.174,121,170,021-05-04_WT_7_unstained,IF
0.575,0.170,122,213,021-05-04_WT_7_unstained,IF
0.577,0.120,123,20,021-05-04_WT_7_unstained,IF
0.571,0.078,123,42,021-05-04_WT_7_unstained,IF
0.534,0.092,122,128,021-05-04_WT_7_unstained,IF
0.559,0.158,121,142,021-05-04_WT_7_unstained,IF
0.500,0.064,121,136,021-05-04_WT_7_unstained,IF-CML
0.508,0.089,122,128,021-05-04_WT_7_unstained,IF-CML
0.520,0.089,122,138,021-05-04_WT_7_unstained,IF-CML
0.517,0.107,121,213,021-05-04_WT_7_unstained,IF-CML
0.506,0.049,123,143,021-05-04_WT_7_unstained,IF-CML
0.519,0.065,123,170,021-05-04_WT_7_unstained,IF-CML
0.539,0.083,122,188,021-05-04_WT_7_unstained,IF-CML
0.500,0.034,122,149,021-05-04_WT_7_unstained,IF-CML
0.524,0.044,122,200,021-05-04_WT_7_unstained,IF-CML
0.519,0.039,123,140,021-05-04_WT_7_unstained,IF-CML
0.512,0.070,122,158,021-05-04_WT_7_unstained,IF-CML
0.504,0.079,122,142,021-05-04_WT_7_unstained,IF-CML
0.505,0.065,123,144,021-05-04_WT_7_unstained,IF-CML
0.543,0.087,122,76,021-05-04_WT_7_unstained,IF-CML
0.544,0.096,123,128,021-05-04_WT_7_unstained,IF-CML
0.551,0.076,123,47,021-05-04_WT_7_unstained,IF-CML
0.546,0.078,123,65,021-05-04_WT_7_unstained,IF-CML
0.516,0.073,122,143,021-05-04_WT_7_unstained,IF-CML
0.543,0.107,123,111,021-05-04_WT_7_unstained,IF-CML
0.557,0.060,123,151,021-05-04_WT_7_unstained,IF-CML
0.340,0.125,119,58,021-05-04_WT_7_unstained,LP
0.406,0.185,118,22,021-05-04_WT_7_unstained,LP
0.450,0.126,123,213,021-05-04_WT_7_unstained,LP
0.488,0.158,121,84,021-05-04_WT_7_unstained,LP
0.403,0.145,121,42,021-05-04_WT_7_unstained,LP
0.376,0.164,116,23,021-05-04_WT_7_unstained,LP
0.384,0.072,123,70,021-05-04_WT_7_unstained,LP
0.268,0.065,123,47,021-05-04_WT_7_unstained,LP
0.291,0.147,111,53,021-05-04_WT_7_unstained,LP
0.363,0.090,120,77,021-05-04_WT_7_unstained,LP
0.371,0.159,119,65,021-05-04_WT_7_unstained,LP
0.325,0.168,117,76,021-05-04_WT_7_unstained,LP
0.427,0.120,121,114,021-05-04_WT_7_unstained,LP
0.317,0.099,119,23,021-05-04_WT_7_unstained,LP
0.510,0.154,123,84,021-05-04_WT_7_unstained,LP
0.404,0.203,118,29,021-05-04_WT_7_unstained,LP
0.355,0.122,119,128,021-05-04_WT_7_unstained,LP
0.406,0.115,123,53,021-05-04_WT_7_unstained,LP
0.413,0.100,123,79,021-05-04_WT_7_unstained,LP
0.389,0.121,124,76,021-05-04_WT_7_unstained,LP
0.206,0.181,130,198,021-05-04_WT_7_unstained,PH
0.188,0.163,152,166,021-05-04_WT_7_unstained,PH
0.163,0.156,123,133,021-05-04_WT_7_unstained,PH
0.159,0.167,137,162,021-05-04_WT_7_unstained,PH
0.190,0.214,132,185,021-05-04_WT_7_unstained,PH
0.192,0.192,134,170,021-05-04_WT_7_unstained,PH
0.146,0.159,125,153,021-05-04_WT_7_unstained,PH
0.233,0.221,136,181,021-05-04_WT_7_unstained,PH
0.206,0.216,142,162,021-05-04_WT_7_unstained,PH
0.189,0.175,138,159,021-05-04_WT_7_unstained,PH
0.151,0.183,145,175,021-05-04_WT_7_unstained,PH
0.098,0.127,112,154,021-05-04_WT_7_unstained,PH
0.143,0.172,137,165,021-05-04_WT_7_unstained,PH
0.124,0.135,128,158,021-05-04_WT_7_unstained,PH
0.150,0.155,136,158,021-05-04_WT_7_unstained,PH
0.155,0.165,146,187,021-05-04_WT_7_unstained,PH
0.154,0.170,147,183,021-05-04_WT_7_unstained,PH
0.115,0.159,111,146,021-05-04_WT_7_unstained,PH
0.144,0.155,164,165,021-05-04_WT_7_unstained,PH
0.130,0.160,140,31,021-05-04_WT_7_unstained,PH
0.075,0.088,42,17,021-05-04_WT_7_unstained,BG
0.074,0.083,42,17,021-05-04_WT_7_unstained,BG
0.074,0.082,22,18,021-05-04_WT_7_unstained,BG
0.073,0.074,15,17,021-05-04_WT_7_unstained,BG
0.069,0.074,20,18,021-05-04_WT_7_unstained,BG
0.070,0.078,17,17,021-05-04_WT_7_unstained,BG
0.069,0.080,27,15,021-05-04_WT_7_unstained,BG
0.078,0.076,30,20,021-05-04_WT_7_unstained,BG
0.088,0.092,31,244,021-05-04_WT_7_unstained,BG
0.100,0.099,63,23,021-05-04_WT_7_unstained,BG
0.093,0.109,17,18,021-05-04_WT_7_unstained,BG
0.087,0.106,63,22,021-05-04_WT_7_unstained,BG
0.073,0.087,33,27,021-05-04_WT_7_unstained,BG
0.077,0.087,36,42,021-05-04_WT_7_unstained,BG
0.110,0.112,42,25,021-05-04_WT_7_unstained,BG
0.107,0.113,52,250,021-05-04_WT_7_unstained,BG
0.107,0.104,20,20,021-05-04_WT_7_unstained,BG
0.107,0.104,20,20,021-05-04_WT_7_unstained,BG
0.117,0.115,42,14,021-05-04_WT_7_unstained,BG
0.082,0.067,162,14,021-05-04_WT_7_unstained,BG
