stained_absorbance,unstained_absorbance,stained_hue,unstained_hue,image,cell_type
0.326,0.246,113,191,021-05-04_WT_7_unstained,PX
0.399,0.301,113,170,021-05-04_WT_7_unstained,PX
0.342,0.272,114,227,021-05-04_WT_7_unstained,PX
0.375,0.304,116,128,021-05-04_WT_7_unstained,PX
0.408,0.342,118,227,021-05-04_WT_7_unstained,PX
0.318,0.260,116,170,021-05-04_WT_7_unstained,PX
0.356,0.288,109,27,021-05-04_WT_7_unstained,PX
0.454,0.353,117,238,021-05-04_WT_7_unstained,PX
0.436,0.339,118,251,021-05-04_WT_7_unstained,PX
0.404,0.317,123,105,021-05-04_WT_7_unstained,PX
0.425,0.314,116,255,021-05-04_WT_7_unstained,PX
0.463,0.300,121,194,021-05-04_WT_7_unstained,PX
0.464,0.272,123,42,021-05-04_WT_7_unstained,PX
0.468,0.321,122,234,021-05-04_WT_7_unstained,PX
0.504,0.352,121,128,021-05-04_WT_7_unstained,PX
0.479,0.241,122,98,021-05-04_WT_7_unstained,PX
0.492,0.276,120,120,021-05-04_WT_7_unstained,PX
0.444,0.232,123,133,021-05-04_WT_7_unstained,PX
0.401,0.315,119,142,021-05-04_WT_7_unstained,PX
0.437,0.310,122,27,021-05-04_WT_7_unstained,PX
0.532,0.220,124,142,021-05-04_WT_7_unstained,MX
0.495,0.214,123,105,021-05-04_WT_7_unstained,MX
0.589,0.232,124,93,021-05-04_WT_7_unstained,MX
0.572,0.126,125,142,021-05-04_WT_7_unstained,MX
0.599,0.281,124,179,021-05-04_WT_7_unstained,MX
0.569,0.183,124,123,021-05-04_WT_7_unstained,MX
0.499,0.208,125,119,021-05-04_WT_7_unstained,MX
0.570,0.115,125,143,021-05-04_WT_7_unstained,MX
0.598,0.217,124,164,021-05-04_WT_7_unstained,MX
0.577,0.126,125,135,021-05-04_WT_7_unstained,MX
0.695,0.306,125,128,021-05-04_WT_7_unstained,MX
0.666,0.272,124,144,021-05-04_WT_7_unstained,MX
0.651,0.281,125,191,021-05-04_WT_7_unstained,MX
0.442,0.166,125,213,021-05-04_WT_7_unstained,MX
0.590,0.255,124,105,021-05-04_WT_7_unstained,MX
0.516,0.166,125,133,021-05-04_WT_7_unstained,MX
0.445,0.187,124,114,021-05-04_WT_7_unstained,MX
0.574,0.121,125,139,021-05-04_WT_7_unstained,MX
0.656,0.240,125,140,021-05-04_WT_7_unstained,MX
0.612,0.212,126,61,021-05-04_WT_7_unstained,MX
0.631,0.204,122,165,021-05-04_WT_7_unstained,XF
0.618,0.197,124,114,021-05-04_WT_7_unstained,XF
0.612,0.183,124,152,021-05-04_WT_7_unstained,XF
0.610,0.177,123,149,021-05-04_WT_7_unstained,XF
0.654,0.202,124,128,021-05-04_WT_7_unstained,XF
0.612,0.197,124,227,021-05-04_WT_7_unstained,XF
0.646,0.212,123,234,021-05-04_WT_7_unstained,XF
