stained_absorbance,unstained_absorbance,stained_hue,unstained_hue,image,cell_type
0.367,0.302,116,146,021-05-04_Q_7_unstained,PX
0.340,0.278,118,145,021-05-04_Q_7_unstained,PX
0.319,0.287,119,160,021-05-04_Q_7_unstained,PX
0.408,0.347,114,128,021-05-04_Q_7_unstained,PX
0.359,0.317,118,170,021-05-04_Q_7_unstained,PX
0.394,0.363,120,198,021-05-04_Q_7_unstained,PX
0.353,0.328,117,140,021-05-04_Q_7_unstained,PX
0.272,0.300,124,177,021-05-04_Q_7_unstained,PX
0.270,0.315,119,219,021-05-04_Q_7_unstained,PX
0.255,0.244,111,29,021-05-04_Q_7_unstained,PX
0.244,0.260,121,128,021-05-04_Q_7_unstained,PX
0.289,0.295,115,166,021-05-04_Q_7_unstained,PX
0.323,0.329,119,170,021-05-04_Q_7_unstained,PX
0.275,0.328,122,213,021-05-04_Q_7_unstained,PX
0.317,0.301,121,162,021-05-04_Q_7_unstained,PX
0.363,0.390,118,241,021-05-04_Q_7_unstained,PX
0.419,0.365,116,170,021-05-04_Q_7_unstained,PX
0.272,0.250,116,162,021-05-04_Q_7_unstained,PX
0.329,0.311,117,238,021-05-04_Q_7_unstained,PX
0.362,0.333,114,198,021-05-04_Q_7_unstained,PX
0.377,0.198,124,145,021-05-04_Q_7_unstained,MX
0.411,0.217,122,170,021-05-04_Q_7_unstained,MX
0.437,0.242,122,150,021-05-04_Q_7_unstained,MX
0.478,0.224,121,155,021-05-04_Q_7_unstained,MX
0.515,0.248,122,142,021-05-04_Q_7_unstained,MX
0.475,0.162,122,128,021-05-04_Q_7_unstained,MX
0.416,0.133,121,142,021-05-04_Q_7_unstained,MX
0.456,0.124,122,117,021-05-04_Q_7_unstained,MX
0.338,0.045,121,151,021-05-04_Q_7_unstained,MX
0.546,0.270,121,162,021-05-04_Q_7_unstained,MX
0.555,0.301,122,144,021-05-04_Q_7_unstained,MX
0.510,0.181,123,154,021-05-04_Q_7_unstained,MX
0.405,0.063,122,140,021-05-04_Q_7_unstained,MX
0.429,0.107,122,144,021-05-04_Q_7_unstained,MX
0.477,0.201,121,135,021-05-04_Q_7_unstained,MX
0.512,0.251,122,119,021-05-04_Q_7_unstained,MX
0.511,0.234,121,138,021-05-04_Q_7_unstained,MX
0.328,0.026,122,108,021-05-04_Q_7_unstained,MX
0.427,0.139,120,142,021-05-04_Q_7_unstained,MX
0.336,0.023,122,151,021-05-04_Q_7_unstained,MX
0.216,0.147,112,46,021-05-04_Q_7_unstained,XF
0.266,0.207,119,234,021-05-04_Q_7_unstained,XF
