stained_absorbance,unstained_absorbance,stained_hue,unstained_hue,image,cell_type
0.283,0.220,109,57,2021-05-06_Q_6_unstained,PX
0.339,0.293,118,238,2021-05-06_Q_6_unstained,PX
0.292,0.210,116,159,2021-05-06_Q_6_unstained,PX
0.419,0.291,115,213,2021-05-06_Q_6_unstained,PX
0.430,0.336,116,227,2021-05-06_Q_6_unstained,PX
0.356,0.291,111,50,2021-05-06_Q_6_unstained,PX
0.415,0.337,121,170,2021-05-06_Q_6_unstained,PX
0.343,0.199,113,128,2021-05-06_Q_6_unstained,PX
0.429,0.309,114,35,2021-05-06_Q_6_unstained,PX
0.418,0.269,119,162,2021-05-06_Q_6_unstained,PX
0.241,0.159,110,79,2021-05-06_Q_6_unstained,PX
0.260,0.186,118,243,2021-05-06_Q_6_unstained,PX
0.361,0.279,118,191,2021-05-06_Q_6_unstained,PX
0.356,0.265,117,248,2021-05-06_Q_6_unstained,PX
0.409,0.339,116,105,2021-05-06_Q_6_unstained,PX
0.395,0.300,111,60,2021-05-06_Q_6_unstained,PX
0.431,0.330,116,198,2021-05-06_Q_6_unstained,PX
0.385,0.298,117,236,2021-05-06_Q_6_unstained,PX
0.342,0.262,117,234,2021-05-06_Q_6_unstained,PX
0.423,0.306,117,170,2021-05-06_Q_6_unstained,PX
0.379,0.169,120,90,2021-05-06_Q_6_unstained,MX
0.491,0.244,122,165,2021-05-06_Q_6_unstained,MX
0.436,0.162,121,107,2021-05-06_Q_6_unstained,MX
0.533,0.197,121,162,2021-05-06_Q_6_unstained,MX
0.449,0.054,123,143,2021-05-06_Q_6_unstained,MX
0.488,0.172,124,142,2021-05-06_Q_6_unstained,MX
0.582,0.283,124,153,2021-05-06_Q_6_unstained,MX
0.429,0.124,124,117,2021-05-06_Q_6_unstained,MX
0.484,0.151,123,153,2021-05-06_Q_6_unstained,MX
0.478,0.148,124,147,2021-05-06_Q_6_unstained,MX
0.460,0.119,123,137,2021-05-06_Q_6_unstained,MX
0.452,0.143,124,110,2021-05-06_Q_6_unstained,MX
0.516,0.204,123,57,2021-05-06_Q_6_unstained,MX
0.479,0.170,122,128,2021-05-06_Q_6_unstained,MX
0.440,0.162,122,20,2021-05-06_Q_6_unstained,MX
0.345,0.047,123,156,2021-05-06_Q_6_unstained,MX
0.511,0.255,123,238,2021-05-06_Q_6_unstained,MX
0.624,0.337,123,128,2021-05-06_Q_6_unstained,MX
0.523,0.176,123,152,2021-05-06_Q_6_unstained,MX
0.456,0.088,124,146,2021-05-06_Q_6_unstained,MX
0.388,0.247,115,56,2021-05-06_Q_6_unstained,XF
0.446,0.281,118,128,2021-05-06_Q_6_unstained,XF
0.531,0.361,117,223,2021-05-06_Q_6_unstained,XF
0.470,0.332,117,234,2021-05-06_Q_6_unstained,XF
0.455,0.286,116,23,2021-05-06_Q_6_unstained,XF
0.409,0.214,118,179,2021-05-06_Q_6_unstained,XF
0.396,0.283,118,42,2021-05-06_Q_6_unstained,XF
0.238,0.140,117,42,2021-05-06_Q_6_unstained,XF
0.271,0.170,117,149,2021-05-06_Q_6_unstained,XF
0.385,0.296,119,187,2021-05-06_Q_6_unstained,XF
0.363,0.255,113,128,2021-05-06_Q_6_unstained,XF
0.389,0.249,116,114,2021-05-06_Q_6_unstained,XF
0.221,0.159,115,128,2021-05-06_Q_6_unstained,XF
0.397,0.252,116,96,2021-05-06_Q_6_unstained,XF
0.410,0.290,119,248,2021-05-06_Q_6_unstained,XF
0.440,0.205,117,73,2021-05-06_Q_6_unstained,XF
0.446,0.286,116,18,2021-05-06_Q_6_unstained,XF
0.369,0.213,117,213,2021-05-06_Q_6_unstained,XF
0.285,0.099,118,144,2021-05-06_Q_6_unstained,XF
0.405,0.264,120,153,2021-05-06_Q_6_unstained,XF
0.441,0.202,116,128,2021-05-06_Q_6_unstained,XF-CML
0.345,0.126,118,105,2021-05-06_Q_6_unstained,XF-CML
0.388,0.079,119,118,2021-05-06_Q_6_unstained,XF-CML
0.384,0.138,119,84,2021-05-06_Q_6_unstained,XF-CML
0.399,0.135,118,170,2021-05-06_Q_6_unstained,XF-CML
0.353,0.196,119,116,2021-05-06_Q_6_unstained,XF-CML
0.407,0.266,120,143,2021-05-06_Q_6_unstained,XF-CML
0.329,0.111,117,101,2021-05-06_Q_6_unstained,XF-CML
0.371,0.107,119,121,2021-05-06_Q_6_unstained,XF-CML
0.415,0.141,120,128,2021-05-06_Q_6_unstained,XF-CML
0.353,0.095,120,101,2021-05-06_Q_6_unstained,XF-CML
0.326,0.061,119,131,2021-05-06_Q_6_unstained,XF-CML
0.379,0.099,120,42,2021-05-06_Q_6_unstained,XF-CML
0.347,0.125,117,145,2021-05-06_Q_6_unstained,XF-CML
0.369,0.160,117,112,2021-05-06_Q_6_unstained,XF-CML
0.317,0.099,117,132,2021-05-06_Q_6_unstained,XF-CML
0.286,0.142,116,72,2021-05-06_Q_6_unstained,XF-CML
0.234,0.107,114,101,2021-05-06_Q_6_unstained,XF-CML
0.194,0.079,115,135,2021-05-06_Q_6_unstained,XF-CML
0.200,0.062,116,98,2021-05-06_Q_6_unstained,XF-CML
0.170,0.157,76,250,2021-05-06_Q_6_unstained,IF
0.235,0.251,63,241,2021-05-06_Q_6_unstained,IF
0.079,0.044,96,27,2021-05-06_Q_6_unstained,IF
0.117,0.096,96,42,2021-05-06_Q_6_unstained,IF
0.128,0.116,84,234,2021-05-06_Q_6_unstained,IF
0.081,0.061,100,20,2021-05-06_Q_6_unstained,IF
0.112,0.100,79,19,2021-05-06_Q_6_unstained,IF
0.172,0.163,107,14,2021-05-06_Q_6_unstained,IF
0.149,0.121,84,26,2021-05-06_Q_6_unstained,IF
0.080,0.050,101,31,2021-05-06_Q_6_unstained,IF
0.134,0.108,96,29,2021-05-06_Q_6_unstained,IF
0.173,0.169,84,213,2021-05-06_Q_6_unstained,IF
0.150,0.145,92,20,2021-05-06_Q_6_unstained,IF
0.118,0.128,107,31,2021-05-06_Q_6_unstained,IF
0.100,0.078,97,42,2021-05-06_Q_6_unstained,IF
0.064,0.028,104,42,2021-05-06_Q_6_unstained,IF
0.101,0.103,115,128,2021-05-06_Q_6_unstained,IF
0.152,0.134,104,27,2021-05-06_Q_6_unstained,IF
0.099,0.083,76,227,2021-05-06_Q_6_unstained,IF
0.161,0.155,107,18,2021-05-06_Q_6_unstained,IF
0.035,0.000,104,128,2021-05-06_Q_6_unstained,IF-CML
0.048,0.000,101,128,2021-05-06_Q_6_unstained,IF-CML
0.038,0.000,98,128,2021-05-06_Q_6_unstained,IF-CML
0.032,0.000,95,128,2021-05-06_Q_6_unstained,IF-CML
0.033,2.844E-4,104,128,2021-05-06_Q_6_unstained,IF-CML
0.020,0.000,88,128,2021-05-06_Q_6_unstained,IF-CML
0.053,0.009,112,170,2021-05-06_Q_6_unstained,IF-CML
0.028,0.000,101,128,2021-05-06_Q_6_unstained,IF-CML
0.033,0.002,105,170,2021-05-06_Q_6_unstained,IF-CML
0.049,0.003,109,213,2021-05-06_Q_6_unstained,IF-CML
0.033,0.000,104,128,2021-05-06_Q_6_unstained,IF-CML
