stained_absorbance,unstained_absorbance,stained_hue,unstained_hue,image,cell_type
0.416,0.338,113,16,2021-05-11_Q_8_unstained,PX
0.480,0.351,118,149,2021-05-11_Q_8_unstained,PX
0.538,0.446,114,149,2021-05-11_Q_8_unstained,PX
0.286,0.281,119,182,2021-05-11_Q_8_unstained,PX
0.361,0.318,111,241,2021-05-11_Q_8_unstained,PX
0.481,0.385,114,144,2021-05-11_Q_8_unstained,PX
0.345,0.301,118,42,2021-05-11_Q_8_unstained,PX
0.449,0.346,117,170,2021-05-11_Q_8_unstained,PX
0.239,0.253,108,56,2021-05-11_Q_8_unstained,PX
0.279,0.304,113,56,2021-05-11_Q_8_unstained,PX
0.302,0.276,116,105,2021-05-11_Q_8_unstained,PX
0.286,0.277,105,14,2021-05-11_Q_8_unstained,PX
0.450,0.350,113,213,2021-05-11_Q_8_unstained,PX
0.453,0.326,118,56,2021-05-11_Q_8_unstained,PX
0.415,0.289,119,105,2021-05-11_Q_8_unstained,PX
0.416,0.334,116,11,2021-05-11_Q_8_unstained,PX
0.487,0.361,114,223,2021-05-11_Q_8_unstained,PX
0.435,0.324,117,42,2021-05-11_Q_8_unstained,PX
0.442,0.341,117,187,2021-05-11_Q_8_unstained,PX
0.365,0.326,113,84,2021-05-11_Q_8_unstained,PX
0.491,0.253,121,149,2021-05-11_Q_8_unstained,MX
0.469,0.084,125,118,2021-05-11_Q_8_unstained,MX
0.468,0.102,125,141,2021-05-11_Q_8_unstained,MX
0.537,0.209,124,140,2021-05-11_Q_8_unstained,MX
0.467,0.160,123,121,2021-05-11_Q_8_unstained,MX
0.416,0.128,128,150,2021-05-11_Q_8_unstained,MX
0.447,0.081,125,202,2021-05-11_Q_8_unstained,MX
0.543,0.162,126,150,2021-05-11_Q_8_unstained,MX
0.521,0.176,124,146,2021-05-11_Q_8_unstained,MX
0.594,0.221,123,119,2021-05-11_Q_8_unstained,MX
0.561,0.214,123,110,2021-05-11_Q_8_unstained,MX
0.540,0.144,123,139,2021-05-11_Q_8_unstained,MX
0.600,0.248,120,144,2021-05-11_Q_8_unstained,MX
0.490,0.194,121,164,2021-05-11_Q_8_unstained,MX
0.555,0.194,124,141,2021-05-11_Q_8_unstained,MX
0.593,0.270,122,136,2021-05-11_Q_8_unstained,MX
0.548,0.163,122,128,2021-05-11_Q_8_unstained,MX
0.600,0.324,123,137,2021-05-11_Q_8_unstained,MX
0.572,0.301,120,170,2021-05-11_Q_8_unstained,MX
0.501,0.143,121,142,2021-05-11_Q_8_unstained,MX
0.350,0.187,116,223,2021-05-11_Q_8_unstained,XF
0.368,0.173,118,170,2021-05-11_Q_8_unstained,XF
0.457,0.214,118,241,2021-05-11_Q_8_unstained,XF
0.506,0.262,117,105,2021-05-11_Q_8_unstained,XF
0.451,0.261,118,77,2021-05-11_Q_8_unstained,XF
0.481,0.201,118,191,2021-05-11_Q_8_unstained,XF
0.464,0.186,116,66,2021-05-11_Q_8_unstained,XF
0.335,0.091,116,128,2021-05-11_Q_8_unstained,XF
0.357,0.148,114,102,2021-05-11_Q_8_unstained,XF
0.356,0.125,117,227,2021-05-11_Q_8_unstained,XF
0.381,0.163,116,42,2021-05-11_Q_8_unstained,XF
0.315,0.095,116,161,2021-05-11_Q_8_unstained,XF
0.305,0.102,115,184,2021-05-11_Q_8_unstained,XF
0.346,0.135,116,149,2021-05-11_Q_8_unstained,XF
0.364,0.160,117,176,2021-05-11_Q_8_unstained,XF
0.470,0.166,118,54,2021-05-11_Q_8_unstained,XF
0.502,0.212,118,234,2021-05-11_Q_8_unstained,XF
0.485,0.169,118,63,2021-05-11_Q_8_unstained,XF
0.463,0.174,117,146,2021-05-11_Q_8_unstained,XF
0.461,0.179,118,191,2021-05-11_Q_8_unstained,XF
0.455,0.113,119,153,2021-05-11_Q_8_unstained,XF-CML
0.427,0.145,119,194,2021-05-11_Q_8_unstained,XF-CML
0.419,0.028,120,149,2021-05-11_Q_8_unstained,XF-CML
0.464,0.080,119,151,2021-05-11_Q_8_unstained,XF-CML
0.432,0.120,119,221,2021-05-11_Q_8_unstained,XF-CML
0.422,0.080,118,137,2021-05-11_Q_8_unstained,XF-CML
0.412,0.075,119,175,2021-05-11_Q_8_unstained,XF-CML
0.366,0.035,119,110,2021-05-11_Q_8_unstained,XF-CML
