stained_absorbance,unstained_absorbance,stained_hue,unstained_hue,image,cell_type
0.649,0.208,124,149,2021-05-04_WT_5_stained,XF
0.591,0.174,123,149,2021-05-04_WT_5_stained,XF
0.600,0.131,124,128,2021-05-04_WT_5_stained,XF
0.624,0.191,123,198,2021-05-04_WT_5_stained,XF
0.569,0.135,124,122,2021-05-04_WT_5_stained,XF-CML
0.570,0.120,124,136,2021-05-04_WT_5_stained,XF-CML
0.571,0.107,124,141,2021-05-04_WT_5_stained,XF-CML
0.603,0.184,125,118,2021-05-04_WT_5_stained,XF-CML
0.588,0.184,125,128,2021-05-04_WT_5_stained,XF-CML
0.606,0.180,124,135,2021-05-04_WT_5_stained,XF-CML
0.621,0.194,125,114,2021-05-04_WT_5_stained,XF-CML
0.585,0.142,124,112,2021-05-04_WT_5_stained,XF-CML
0.593,0.132,125,105,2021-05-04_WT_5_stained,XF-CML
0.640,0.175,125,84,2021-05-04_WT_5_stained,XF-CML
0.645,0.177,125,128,2021-05-04_WT_5_stained,XF-CML
0.651,0.268,124,77,2021-05-04_WT_5_stained,XF-CML
0.582,0.151,124,116,2021-05-04_WT_5_stained,XF-CML
0.580,0.139,124,119,2021-05-04_WT_5_stained,XF-CML
0.626,0.229,124,128,2021-05-04_WT_5_stained,XF-CML
0.596,0.203,124,140,2021-05-04_WT_5_stained,XF-CML
0.581,0.160,124,135,2021-05-04_WT_5_stained,XF-CML
0.580,0.151,124,134,2021-05-04_WT_5_stained,XF-CML
0.610,0.194,125,117,2021-05-04_WT_5_stained,XF-CML
0.643,0.207,124,146,2021-05-04_WT_5_stained,XF-CML
0.530,0.213,118,237,2021-05-04_WT_5_stained,IF
0.505,0.089,120,231,2021-05-04_WT_5_stained,IF
0.493,0.062,120,241,2021-05-04_WT_5_stained,IF
0.511,0.106,120,42,2021-05-04_WT_5_stained,IF
0.505,0.160,121,20,2021-05-04_WT_5_stained,IF
0.487,0.060,121,77,2021-05-04_WT_5_stained,IF
0.527,0.083,121,170,2021-05-04_WT_5_stained,IF
0.525,0.182,121,234,2021-05-04_WT_5_stained,IF
0.524,0.105,120,238,2021-05-04_WT_5_stained,IF
0.503,0.172,121,15,2021-05-04_WT_5_stained,IF
0.484,0.060,120,158,2021-05-04_WT_5_stained,IF
0.516,0.090,121,170,2021-05-04_WT_5_stained,IF
0.488,0.163,121,250,2021-05-04_WT_5_stained,IF
0.511,0.107,121,42,2021-05-04_WT_5_stained,IF
0.479,0.123,121,20,2021-05-04_WT_5_stained,IF
0.495,0.169,120,23,2021-05-04_WT_5_stained,IF
0.458,0.151,121,20,2021-05-04_WT_5_stained,IF
0.460,0.136,121,234,2021-05-04_WT_5_stained,IF
0.441,0.167,120,10,2021-05-04_WT_5_stained,IF
0.495,0.140,121,95,2021-05-04_WT_5_stained,IF
0.473,0.090,122,42,2021-05-04_WT_5_stained,IF-CML
0.462,0.055,122,121,2021-05-04_WT_5_stained,IF-CML
0.480,0.057,121,158,2021-05-04_WT_5_stained,IF-CML
0.481,0.093,121,204,2021-05-04_WT_5_stained,IF-CML
0.452,0.041,122,84,2021-05-04_WT_5_stained,IF-CML
0.484,0.087,122,95,2021-05-04_WT_5_stained,IF-CML
0.469,0.039,122,101,2021-05-04_WT_5_stained,IF-CML
0.500,0.147,121,33,2021-05-04_WT_5_stained,IF-CML
0.482,0.096,121,143,2021-05-04_WT_5_stained,IF-CML
0.439,0.058,121,98,2021-05-04_WT_5_stained,IF-CML
0.454,0.030,121,135,2021-05-04_WT_5_stained,IF-CML
0.465,0.104,120,67,2021-05-04_WT_5_stained,IF-CML
0.463,0.052,121,102,2021-05-04_WT_5_stained,IF-CML
0.469,0.083,122,142,2021-05-04_WT_5_stained,IF-CML
0.503,0.106,121,73,2021-05-04_WT_5_stained,IF-CML
0.495,0.151,121,19,2021-05-04_WT_5_stained,IF-CML
0.487,0.076,121,18,2021-05-04_WT_5_stained,IF-CML
0.511,0.069,122,105,2021-05-04_WT_5_stained,IF-CML
0.495,0.068,122,31,2021-05-04_WT_5_stained,IF-CML
0.491,0.070,122,49,2021-05-04_WT_5_stained,IF-CML
0.386,0.156,120,28,2021-05-04_WT_5_stained,LP
0.380,0.165,116,28,2021-05-04_WT_5_stained,LP
0.381,0.114,121,32,2021-05-04_WT_5_stained,LP
0.373,0.143,117,16,2021-05-04_WT_5_stained,LP
0.423,0.200,117,18,2021-05-04_WT_5_stained,LP
0.417,0.204,118,24,2021-05-04_WT_5_stained,LP
0.382,0.181,116,26,2021-05-04_WT_5_stained,LP
0.384,0.182,117,34,2021-05-04_WT_5_stained,LP
0.362,0.181,117,255,2021-05-04_WT_5_stained,LP
0.377,0.164,119,38,2021-05-04_WT_5_stained,LP
0.293,0.196,117,20,2021-05-04_WT_5_stained,LP
0.360,0.149,117,18,2021-05-04_WT_5_stained,LP
0.345,0.123,115,84,2021-05-04_WT_5_stained,LP
0.346,0.133,119,36,2021-05-04_WT_5_stained,LP
0.327,0.184,117,22,2021-05-04_WT_5_stained,LP
0.335,0.187,121,46,2021-05-04_WT_5_stained,LP
0.378,0.200,117,42,2021-05-04_WT_5_stained,LP
0.358,0.144,119,33,2021-05-04_WT_5_stained,LP
0.382,0.121,121,42,2021-05-04_WT_5_stained,LP
0.347,0.167,118,29,2021-05-04_WT_5_stained,LP
0.170,0.151,131,189,2021-05-04_WT_5_stained,PH
0.099,0.126,111,128,2021-05-04_WT_5_stained,PH
0.134,0.153,128,110,2021-05-04_WT_5_stained,PH
0.149,0.174,120,153,2021-05-04_WT_5_stained,PH
0.138,0.163,132,170,2021-05-04_WT_5_stained,PH
0.121,0.137,122,184,2021-05-04_WT_5_stained,PH
0.140,0.169,152,149,2021-05-04_WT_5_stained,PH
0.182,0.177,132,165,2021-05-04_WT_5_stained,PH
0.173,0.172,140,183,2021-05-04_WT_5_stained,PH
0.125,0.149,128,139,2021-05-04_WT_5_stained,PH
0.176,0.204,118,184,2021-05-04_WT_5_stained,PH
0.153,0.199,110,128,2021-05-04_WT_5_stained,PH
0.167,0.214,124,50,2021-05-04_WT_5_stained,PH
0.133,0.214,128,198,2021-05-04_WT_5_stained,PH
0.174,0.213,116,191,2021-05-04_WT_5_stained,PH
0.165,0.197,119,213,2021-05-04_WT_5_stained,PH
0.159,0.194,102,112,2021-05-04_WT_5_stained,PH
0.140,0.170,105,191,2021-05-04_WT_5_stained,PH
0.136,0.150,152,191,2021-05-04_WT_5_stained,PH
0.125,0.145,112,136,2021-05-04_WT_5_stained,PH
0.091,0.106,128,16,2021-05-04_WT_5_stained,BG
0.107,0.101,27,24,2021-05-04_WT_5_stained,BG
0.099,0.106,24,14,2021-05-04_WT_5_stained,BG
0.087,0.101,128,27,2021-05-04_WT_5_stained,BG
0.076,0.098,52,213,2021-05-04_WT_5_stained,BG
0.092,0.102,42,24,2021-05-04_WT_5_stained,BG
0.092,0.102,42,24,2021-05-04_WT_5_stained,BG
0.084,0.090,184,16,2021-05-04_WT_5_stained,BG
0.087,0.096,23,13,2021-05-04_WT_5_stained,BG
0.087,0.096,23,13,2021-05-04_WT_5_stained,BG
0.081,0.089,20,14,2021-05-04_WT_5_stained,BG
0.097,0.102,42,247,2021-05-04_WT_5_stained,BG
0.093,0.104,26,14,2021-05-04_WT_5_stained,BG
0.093,0.101,27,26,2021-05-04_WT_5_stained,BG
0.100,0.079,24,42,2021-05-04_WT_5_stained,BG
0.104,0.090,32,31,2021-05-04_WT_5_stained,BG
0.104,0.091,30,20,2021-05-04_WT_5_stained,BG
0.112,0.094,24,17,2021-05-04_WT_5_stained,BG
0.104,0.094,29,26,2021-05-04_WT_5_stained,BG
0.109,0.103,34,30,2021-05-04_WT_5_stained,BG
