stained_absorbance,unstained_absorbance,stained_hue,unstained_hue,image,cell_type
0.390,0.211,119,234,2021-05-04_WT_5_stained,PX
0.336,0.223,118,18,2021-05-04_WT_5_stained,PX
0.312,0.219,117,20,2021-05-04_WT_5_stained,PX
0.345,0.222,114,10,2021-05-04_WT_5_stained,PX
0.346,0.236,118,13,2021-05-04_WT_5_stained,PX
0.416,0.252,116,250,2021-05-04_WT_5_stained,PX
0.326,0.216,115,249,2021-05-04_WT_5_stained,PX
0.346,0.229,117,15,2021-05-04_WT_5_stained,PX
0.271,0.190,107,246,2021-05-04_WT_5_stained,PX
0.284,0.205,115,249,2021-05-04_WT_5_stained,PX
0.296,0.186,118,242,2021-05-04_WT_5_stained,PX
0.302,0.207,116,15,2021-05-04_WT_5_stained,PX
0.308,0.205,113,244,2021-05-04_WT_5_stained,PX
0.359,0.229,116,244,2021-05-04_WT_5_stained,PX
0.421,0.242,116,244,2021-05-04_WT_5_stained,PX
0.364,0.227,115,195,2021-05-04_WT_5_stained,PX
0.315,0.244,115,247,2021-05-04_WT_5_stained,PX
0.298,0.211,114,191,2021-05-04_WT_5_stained,PX
0.308,0.191,112,241,2021-05-04_WT_5_stained,PX
0.341,0.218,112,227,2021-05-04_WT_5_stained,PX
0.448,0.213,123,213,2021-05-04_WT_5_stained,MX
0.381,0.202,123,16,2021-05-04_WT_5_stained,MX
0.484,0.209,123,248,2021-05-04_WT_5_stained,MX
0.492,0.192,122,9,2021-05-04_WT_5_stained,MX
0.438,0.182,118,237,2021-05-04_WT_5_stained,MX
0.561,0.299,122,13,2021-05-04_WT_5_stained,MX
0.444,0.207,123,49,2021-05-04_WT_5_stained,MX
0.446,0.164,123,24,2021-05-04_WT_5_stained,MX
0.490,0.241,124,242,2021-05-04_WT_5_stained,MX
0.579,0.306,124,219,2021-05-04_WT_5_stained,MX
0.632,0.278,124,191,2021-05-04_WT_5_stained,MX
0.620,0.253,124,118,2021-05-04_WT_5_stained,MX
0.487,0.154,122,138,2021-05-04_WT_5_stained,MX
0.650,0.291,123,244,2021-05-04_WT_5_stained,MX
0.546,0.157,124,138,2021-05-04_WT_5_stained,MX
0.585,0.202,124,118,2021-05-04_WT_5_stained,MX
0.581,0.134,123,73,2021-05-04_WT_5_stained,MX
0.567,0.253,125,170,2021-05-04_WT_5_stained,MX
0.477,0.164,122,158,2021-05-04_WT_5_stained,MX
0.510,0.209,124,230,2021-05-04_WT_5_stained,MX
0.465,0.188,123,227,2021-05-04_WT_5_stained,XF
0.502,0.187,123,33,2021-05-04_WT_5_stained,XF
0.538,0.184,123,149,2021-05-04_WT_5_stained,XF
0.563,0.189,123,146,2021-05-04_WT_5_stained,XF
0.547,0.220,123,152,2021-05-04_WT_5_stained,XF
0.547,0.218,123,202,2021-05-04_WT_5_stained,XF
0.608,0.196,123,120,2021-05-04_WT_5_stained,XF
0.662,0.208,123,149,2021-05-04_WT_5_stained,XF
0.595,0.177,124,128,2021-05-04_WT_5_stained,XF
0.692,0.241,124,52,2021-05-04_WT_5_stained,XF
0.654,0.201,124,145,2021-05-04_WT_5_stained,XF
0.663,0.160,124,151,2021-05-04_WT_5_stained,XF
0.636,0.206,124,128,2021-05-04_WT_5_stained,XF
0.638,0.177,124,144,2021-05-04_WT_5_stained,XF
0.616,0.159,123,84,2021-05-04_WT_5_stained,XF
0.645,0.249,123,42,2021-05-04_WT_5_stained,XF
