stained_absorbance,unstained_absorbance,stained_hue,unstained_hue,image,cell_type
0.208,0.164,103,95,2021-05-11_WT_8_unstained,PX
0.323,0.259,109,170,2021-05-11_WT_8_unstained,PX
0.263,0.226,115,70,2021-05-11_WT_8_unstained,PX
0.225,0.194,105,12,2021-05-11_WT_8_unstained,PX
0.325,0.275,117,128,2021-05-11_WT_8_unstained,PX
0.252,0.230,112,184,2021-05-11_WT_8_unstained,PX
0.301,0.259,111,133,2021-05-11_WT_8_unstained,PX
0.382,0.316,115,105,2021-05-11_WT_8_unstained,PX
0.409,0.263,123,141,2021-05-11_WT_8_unstained,PX
0.480,0.346,119,135,2021-05-11_WT_8_unstained,PX
0.400,0.295,121,142,2021-05-11_WT_8_unstained,PX
0.460,0.376,116,67,2021-05-11_WT_8_unstained,PX
0.410,0.328,118,20,2021-05-11_WT_8_unstained,PX
0.319,0.283,116,128,2021-05-11_WT_8_unstained,PX
0.369,0.288,117,227,2021-05-11_WT_8_unstained,PX
0.422,0.301,122,247,2021-05-11_WT_8_unstained,PX
0.467,0.323,118,84,2021-05-11_WT_8_unstained,PX
0.405,0.197,120,118,2021-05-11_WT_8_unstained,PX
0.256,0.226,116,24,2021-05-11_WT_8_unstained,PX
0.389,0.202,121,70,2021-05-11_WT_8_unstained,PX
0.420,0.194,123,128,2021-05-11_WT_8_unstained,MX
0.504,0.214,123,84,2021-05-11_WT_8_unstained,MX
0.402,0.199,120,128,2021-05-11_WT_8_unstained,MX
0.451,0.110,125,119,2021-05-11_WT_8_unstained,MX
0.502,0.187,128,117,2021-05-11_WT_8_unstained,MX
0.483,0.149,124,110,2021-05-11_WT_8_unstained,MX
0.499,0.180,124,70,2021-05-11_WT_8_unstained,MX
0.517,0.158,124,143,2021-05-11_WT_8_unstained,MX
0.589,0.223,123,142,2021-05-11_WT_8_unstained,MX
0.511,0.162,124,141,2021-05-11_WT_8_unstained,MX
0.538,0.160,124,155,2021-05-11_WT_8_unstained,MX
0.492,0.083,124,136,2021-05-11_WT_8_unstained,MX
0.554,0.212,124,95,2021-05-11_WT_8_unstained,MX
0.518,0.098,124,131,2021-05-11_WT_8_unstained,MX
0.534,0.216,121,135,2021-05-11_WT_8_unstained,MX
0.536,0.228,125,128,2021-05-11_WT_8_unstained,MX
0.496,0.033,124,121,2021-05-11_WT_8_unstained,MX
0.568,0.182,124,128,2021-05-11_WT_8_unstained,MX
0.501,0.112,124,118,2021-05-11_WT_8_unstained,MX
0.589,0.138,125,128,2021-05-11_WT_8_unstained,MX
0.464,0.216,120,198,2021-05-11_WT_8_unstained,XF
0.595,0.295,121,222,2021-05-11_WT_8_unstained,XF
0.565,0.195,122,165,2021-05-11_WT_8_unstained,XF
0.582,0.265,122,198,2021-05-11_WT_8_unstained,XF
0.585,0.226,121,238,2021-05-11_WT_8_unstained,XF
0.569,0.123,122,146,2021-05-11_WT_8_unstained,XF
0.587,0.109,123,182,2021-05-11_WT_8_unstained,XF
0.551,0.089,122,149,2021-05-11_WT_8_unstained,XF
0.588,0.179,122,182,2021-05-11_WT_8_unstained,XF
0.580,0.156,122,27,2021-05-11_WT_8_unstained,XF
0.636,0.211,123,225,2021-05-11_WT_8_unstained,XF
0.592,0.128,123,198,2021-05-11_WT_8_unstained,XF
0.572,0.122,122,128,2021-05-11_WT_8_unstained,XF
0.559,0.111,123,100,2021-05-11_WT_8_unstained,XF
0.525,0.082,123,170,2021-05-11_WT_8_unstained,XF
0.578,0.148,123,170,2021-05-11_WT_8_unstained,XF
0.550,0.076,123,183,2021-05-11_WT_8_unstained,XF
0.600,0.166,123,188,2021-05-11_WT_8_unstained,XF
0.657,0.220,122,246,2021-05-11_WT_8_unstained,XF
0.608,0.190,122,186,2021-05-11_WT_8_unstained,XF
0.596,0.134,123,234,2021-05-11_WT_8_unstained,XF-CML
0.557,0.124,123,128,2021-05-11_WT_8_unstained,XF-CML
0.547,0.091,123,131,2021-05-11_WT_8_unstained,XF-CML
0.598,0.169,123,170,2021-05-11_WT_8_unstained,XF-CML
0.549,0.073,123,20,2021-05-11_WT_8_unstained,XF-CML
0.554,0.104,123,156,2021-05-11_WT_8_unstained,XF-CML
0.539,0.064,124,144,2021-05-11_WT_8_unstained,XF-CML
0.532,0.076,123,156,2021-05-11_WT_8_unstained,XF-CML
0.551,0.041,124,153,2021-05-11_WT_8_unstained,XF-CML
0.565,0.129,123,222,2021-05-11_WT_8_unstained,XF-CML
0.562,0.126,123,149,2021-05-11_WT_8_unstained,XF-CML
0.544,0.114,123,84,2021-05-11_WT_8_unstained,XF-CML
0.560,0.144,123,149,2021-05-11_WT_8_unstained,XF-CML
0.552,0.168,123,158,2021-05-11_WT_8_unstained,XF-CML
0.541,0.113,122,165,2021-05-11_WT_8_unstained,XF-CML
0.545,0.176,122,191,2021-05-11_WT_8_unstained,XF-CML
0.550,0.156,123,181,2021-05-11_WT_8_unstained,XF-CML
0.539,0.127,123,213,2021-05-11_WT_8_unstained,XF-CML
