stained_absorbance,unstained_absorbance,stained_hue,unstained_hue,image,cell_type
0.341,0.164,119,143,021-05-04_Q_5_unstained,XF-CML
0.321,0.200,118,95,021-05-04_Q_5_unstained,XF-CML
0.315,0.139,117,118,021-05-04_Q_5_unstained,XF-CML
0.315,0.150,118,73,021-05-04_Q_5_unstained,XF-CML
0.355,0.193,115,128,021-05-04_Q_5_unstained,XF-CML
0.324,0.139,117,128,021-05-04_Q_5_unstained,XF-CML
0.350,0.163,116,70,021-05-04_Q_5_unstained,XF-CML
0.364,0.150,118,95,021-05-04_Q_5_unstained,XF-CML
0.357,0.159,116,70,021-05-04_Q_5_unstained,XF-CML
0.341,0.177,115,149,021-05-04_Q_5_unstained,XF-CML
0.297,0.130,114,128,021-05-04_Q_5_unstained,XF-CML
0.290,0.120,116,112,021-05-04_Q_5_unstained,XF-CML
0.245,0.097,113,70,021-05-04_Q_5_unstained,XF-CML
0.280,0.114,115,66,021-05-04_Q_5_unstained,XF-CML
0.256,0.126,115,121,021-05-04_Q_5_unstained,XF-CML
0.239,0.111,116,128,021-05-04_Q_5_unstained,XF-CML
0.173,0.175,109,33,021-05-04_Q_5_unstained,IF
0.222,0.217,94,238,021-05-04_Q_5_unstained,IF
0.166,0.153,102,242,021-05-04_Q_5_unstained,IF
0.161,0.137,98,17,021-05-04_Q_5_unstained,IF
0.155,0.113,104,213,021-05-04_Q_5_unstained,IF
0.162,0.128,109,149,021-05-04_Q_5_unstained,IF
0.174,0.134,113,16,021-05-04_Q_5_unstained,IF
0.162,0.144,112,238,021-05-04_Q_5_unstained,IF
0.133,0.101,115,217,021-05-04_Q_5_unstained,IF
0.126,0.106,99,33,021-05-04_Q_5_unstained,IF
0.166,0.152,99,181,021-05-04_Q_5_unstained,IF
0.157,0.139,105,234,021-05-04_Q_5_unstained,IF
0.156,0.130,110,234,021-05-04_Q_5_unstained,IF
0.143,0.146,108,156,021-05-04_Q_5_unstained,IF
0.138,0.130,102,128,021-05-04_Q_5_unstained,IF
0.196,0.185,98,42,021-05-04_Q_5_unstained,IF
0.145,0.141,105,234,021-05-04_Q_5_unstained,IF
0.128,0.135,104,213,021-05-04_Q_5_unstained,IF
0.137,0.138,118,191,021-05-04_Q_5_unstained,IF
0.080,1.422E-4,108,128,021-05-04_Q_5_unstained,IF
0.100,0.024,107,170,021-05-04_Q_5_unstained,IF-CML
0.078,0.000,110,128,021-05-04_Q_5_unstained,IF-CML
0.095,2.844E-4,110,105,021-05-04_Q_5_unstained,IF-CML
0.087,0.000,108,128,021-05-04_Q_5_unstained,IF-CML
0.074,0.000,109,128,021-05-04_Q_5_unstained,IF-CML
0.070,0.004,107,63,021-05-04_Q_5_unstained,IF-CML
0.079,0.002,105,84,021-05-04_Q_5_unstained,IF-CML
0.051,0.001,105,93,021-05-04_Q_5_unstained,IF-CML
0.101,0.043,110,89,021-05-04_Q_5_unstained,IF-CML
0.028,0.000,93,128,021-05-04_Q_5_unstained,IF-CML
0.037,0.000,100,128,021-05-04_Q_5_unstained,IF-CML
0.059,0.028,107,88,021-05-04_Q_5_unstained,IF-CML
0.054,0.017,107,149,021-05-04_Q_5_unstained,IF-CML
0.055,0.012,105,79,021-05-04_Q_5_unstained,IF-CML
0.044,0.006,104,84,021-05-04_Q_5_unstained,IF-CML
0.043,0.000,105,128,021-05-04_Q_5_unstained,IF-CML
0.040,0.000,103,128,021-05-04_Q_5_unstained,IF-CML
0.060,0.000,107,128,021-05-04_Q_5_unstained,IF-CML
0.055,0.025,112,133,021-05-04_Q_5_unstained,IF-CML
0.057,0.005,105,93,021-05-04_Q_5_unstained,IF-CML
0.066,0.128,119,75,021-05-04_Q_5_unstained,LP
0.049,0.104,117,105,021-05-04_Q_5_unstained,LP
0.082,0.092,102,24,021-05-04_Q_5_unstained,LP
0.054,0.066,103,66,021-05-04_Q_5_unstained,LP
0.105,0.112,98,32,021-05-04_Q_5_unstained,LP
0.090,0.097,105,59,021-05-04_Q_5_unstained,LP
0.123,0.111,100,50,021-05-04_Q_5_unstained,LP
0.086,0.063,124,123,021-05-04_Q_5_unstained,LP
0.125,0.095,100,26,021-05-04_Q_5_unstained,LP
0.142,0.118,100,24,021-05-04_Q_5_unstained,LP
0.081,0.047,112,27,021-05-04_Q_5_unstained,LP
0.083,0.052,103,101,021-05-04_Q_5_unstained,LP
0.108,0.071,112,76,021-05-04_Q_5_unstained,LP
0.053,0.032,109,164,021-05-04_Q_5_unstained,LP
0.036,0.060,106,158,021-05-04_Q_5_unstained,LP
0.099,0.088,96,109,021-05-04_Q_5_unstained,LP
0.087,0.074,105,42,021-05-04_Q_5_unstained,LP
0.050,0.055,111,134,021-05-04_Q_5_unstained,LP
0.061,0.060,110,63,021-05-04_Q_5_unstained,LP
0.076,0.077,117,91,021-05-04_Q_5_unstained,LP
0.179,0.232,124,163,021-05-04_Q_5_unstained,PH
0.164,0.228,115,156,021-05-04_Q_5_unstained,PH
0.146,0.217,116,149,021-05-04_Q_5_unstained,PH
0.156,0.214,128,162,021-05-04_Q_5_unstained,PH
0.173,0.209,147,174,021-05-04_Q_5_unstained,PH
0.174,0.210,137,166,021-05-04_Q_5_unstained,PH
0.172,0.172,132,146,021-05-04_Q_5_unstained,PH
0.175,0.185,143,165,021-05-04_Q_5_unstained,PH
0.205,0.232,140,175,021-05-04_Q_5_unstained,PH
0.202,0.229,142,154,021-05-04_Q_5_unstained,PH
0.175,0.194,162,162,021-05-04_Q_5_unstained,PH
0.160,0.192,117,155,021-05-04_Q_5_unstained,PH
0.145,0.187,151,160,021-05-04_Q_5_unstained,PH
0.133,0.195,130,163,021-05-04_Q_5_unstained,PH
0.136,0.200,146,161,021-05-04_Q_5_unstained,PH
0.161,0.227,134,178,021-05-04_Q_5_unstained,PH
0.149,0.218,123,150,021-05-04_Q_5_unstained,PH
0.128,0.200,135,154,021-05-04_Q_5_unstained,PH
0.145,0.192,165,146,021-05-04_Q_5_unstained,PH
0.161,0.229,151,166,021-05-04_Q_5_unstained,PH
0.077,0.079,27,255,021-05-04_Q_5_unstained,BG
0.071,0.075,42,11,021-05-04_Q_5_unstained,BG
0.077,0.086,33,26,021-05-04_Q_5_unstained,BG
0.076,0.086,35,24,021-05-04_Q_5_unstained,BG
0.089,0.088,26,24,021-05-04_Q_5_unstained,BG
0.092,0.087,26,20,021-05-04_Q_5_unstained,BG
0.085,0.087,42,20,021-05-04_Q_5_unstained,BG
0.080,0.074,33,19,021-05-04_Q_5_unstained,BG
0.076,0.074,42,27,021-05-04_Q_5_unstained,BG
0.070,0.077,36,243,021-05-04_Q_5_unstained,BG
0.068,0.070,11,20,021-05-04_Q_5_unstained,BG
0.070,0.079,33,18,021-05-04_Q_5_unstained,BG
0.065,0.061,30,25,021-05-04_Q_5_unstained,BG
0.068,0.066,18,241,021-05-04_Q_5_unstained,BG
0.062,0.064,26,15,021-05-04_Q_5_unstained,BG
0.064,0.067,20,26,021-05-04_Q_5_unstained,BG
0.067,0.069,15,20,021-05-04_Q_5_unstained,BG
0.067,0.069,15,20,021-05-04_Q_5_unstained,BG
0.076,0.076,27,22,021-05-04_Q_5_unstained,BG
0.087,0.084,15,244,021-05-04_Q_5_unstained,BG
