stained_absorbance,unstained_absorbance,stained_hue,unstained_hue,image,cell_type
0.402,0.311,121,197,021-05-04_Q_5_unstained,PX
0.427,0.389,112,243,021-05-04_Q_5_unstained,PX
0.477,0.376,109,200,021-05-04_Q_5_unstained,PX
0.373,0.287,119,202,021-05-04_Q_5_unstained,PX
0.350,0.246,122,227,021-05-04_Q_5_unstained,PX
0.474,0.382,115,241,021-05-04_Q_5_unstained,PX
0.423,0.341,120,227,021-05-04_Q_5_unstained,PX
0.440,0.352,117,234,021-05-04_Q_5_unstained,PX
0.462,0.348,117,76,021-05-04_Q_5_unstained,PX
0.418,0.341,118,27,021-05-04_Q_5_unstained,PX
0.313,0.235,120,170,021-05-04_Q_5_unstained,PX
0.378,0.235,119,191,021-05-04_Q_5_unstained,PX
0.436,0.329,123,153,021-05-04_Q_5_unstained,PX
0.423,0.333,118,213,021-05-04_Q_5_unstained,PX
0.536,0.406,117,184,021-05-04_Q_5_unstained,PX
0.433,0.355,117,170,021-05-04_Q_5_unstained,PX
0.397,0.326,119,223,021-05-04_Q_5_unstained,PX
0.457,0.411,107,24,021-05-04_Q_5_unstained,PX
0.435,0.385,116,239,021-05-04_Q_5_unstained,PX
0.472,0.366,118,197,021-05-04_Q_5_unstained,PX
0.532,0.190,120,153,021-05-04_Q_5_unstained,MX
0.510,0.213,121,183,021-05-04_Q_5_unstained,MX
0.527,0.203,123,151,021-05-04_Q_5_unstained,MX
0.536,0.218,122,156,021-05-04_Q_5_unstained,MX
0.463,0.116,125,135,021-05-04_Q_5_unstained,MX
0.561,0.241,122,23,021-05-04_Q_5_unstained,MX
0.564,0.198,124,166,021-05-04_Q_5_unstained,MX
0.561,0.233,123,147,021-05-04_Q_5_unstained,MX
0.492,0.105,125,152,021-05-04_Q_5_unstained,MX
0.435,0.195,122,191,021-05-04_Q_5_unstained,MX
0.480,0.190,124,128,021-05-04_Q_5_unstained,MX
0.437,0.151,123,141,021-05-04_Q_5_unstained,MX
0.490,0.177,123,116,021-05-04_Q_5_unstained,MX
0.494,0.215,123,140,021-05-04_Q_5_unstained,MX
0.542,0.247,122,170,021-05-04_Q_5_unstained,MX
0.455,0.198,123,144,021-05-04_Q_5_unstained,MX
0.533,0.210,123,151,021-05-04_Q_5_unstained,MX
0.490,0.227,121,84,021-05-04_Q_5_unstained,MX
0.527,0.253,123,170,021-05-04_Q_5_unstained,MX
0.512,0.210,124,128,021-05-04_Q_5_unstained,MX
0.301,0.178,120,27,021-05-04_Q_5_unstained,XF
0.324,0.190,117,202,021-05-04_Q_5_unstained,XF
0.335,0.207,118,84,021-05-04_Q_5_unstained,XF
0.293,0.173,115,128,021-05-04_Q_5_unstained,XF
0.397,0.225,118,170,021-05-04_Q_5_unstained,XF
0.485,0.297,117,191,021-05-04_Q_5_unstained,XF
0.460,0.304,117,213,021-05-04_Q_5_unstained,XF
0.408,0.245,117,27,021-05-04_Q_5_unstained,XF
0.406,0.197,115,213,021-05-04_Q_5_unstained,XF
0.428,0.281,114,230,021-05-04_Q_5_unstained,XF
0.458,0.239,115,225,021-05-04_Q_5_unstained,XF
0.481,0.241,115,228,021-05-04_Q_5_unstained,XF
0.412,0.205,116,213,021-05-04_Q_5_unstained,XF
0.433,0.246,113,200,021-05-04_Q_5_unstained,XF
0.354,0.158,114,188,021-05-04_Q_5_unstained,XF
0.354,0.170,115,200,021-05-04_Q_5_unstained,XF
0.333,0.155,115,163,021-05-04_Q_5_unstained,XF
0.260,0.111,114,227,021-05-04_Q_5_unstained,XF
0.336,0.176,114,187,021-05-04_Q_5_unstained,XF
0.325,0.166,114,205,021-05-04_Q_5_unstained,XF
0.262,0.091,117,128,021-05-04_Q_5_unstained,XF-CML
0.301,0.119,118,128,021-05-04_Q_5_unstained,XF-CML
0.301,0.127,119,135,021-05-04_Q_5_unstained,XF-CML
0.183,0.028,118,149,021-05-04_Q_5_unstained,XF-CML
