stained_absorbance,unstained_absorbance,stained_hue,unstained_hue,image,cell_type
0.341,0.262,122,146,2021-05-06_WT_6_unstained,PX
0.257,0.252,107,27,2021-05-06_WT_6_unstained,PX
0.241,0.217,108,84,2021-05-06_WT_6_unstained,PX
0.243,0.212,108,22,2021-05-06_WT_6_unstained,PX
0.307,0.229,121,101,2021-05-06_WT_6_unstained,PX
0.382,0.282,118,27,2021-05-06_WT_6_unstained,PX
0.342,0.262,116,247,2021-05-06_WT_6_unstained,PX
0.311,0.251,118,17,2021-05-06_WT_6_unstained,PX
0.271,0.221,122,144,2021-05-06_WT_6_unstained,PX
0.377,0.296,120,142,2021-05-06_WT_6_unstained,PX
0.485,0.332,118,132,2021-05-06_WT_6_unstained,PX
0.452,0.330,119,128,2021-05-06_WT_6_unstained,PX
0.422,0.226,122,184,2021-05-06_WT_6_unstained,PX
0.209,0.179,123,84,2021-05-06_WT_6_unstained,PX
0.270,0.223,117,241,2021-05-06_WT_6_unstained,PX
0.386,0.283,120,156,2021-05-06_WT_6_unstained,PX
0.260,0.198,118,144,2021-05-06_WT_6_unstained,PX
0.242,0.177,122,153,2021-05-06_WT_6_unstained,PX
0.247,0.225,126,102,2021-05-06_WT_6_unstained,PX
0.247,0.225,126,102,2021-05-06_WT_6_unstained,PX
0.440,0.108,125,120,2021-05-06_WT_6_unstained,MX
0.427,0.159,124,31,2021-05-06_WT_6_unstained,MX
0.406,0.182,124,30,2021-05-06_WT_6_unstained,MX
0.452,0.178,125,112,2021-05-06_WT_6_unstained,MX
0.493,0.184,126,120,2021-05-06_WT_6_unstained,MX
0.513,0.187,124,98,2021-05-06_WT_6_unstained,MX
0.490,0.185,123,93,2021-05-06_WT_6_unstained,MX
0.468,0.135,124,121,2021-05-06_WT_6_unstained,MX
0.519,0.173,125,116,2021-05-06_WT_6_unstained,MX
0.498,0.151,124,91,2021-05-06_WT_6_unstained,MX
0.505,0.220,123,105,2021-05-06_WT_6_unstained,MX
0.480,0.095,124,113,2021-05-06_WT_6_unstained,MX
0.507,0.162,124,79,2021-05-06_WT_6_unstained,MX
0.523,0.214,125,91,2021-05-06_WT_6_unstained,MX
0.535,0.220,125,105,2021-05-06_WT_6_unstained,MX
0.503,0.248,124,143,2021-05-06_WT_6_unstained,MX
0.527,0.102,124,121,2021-05-06_WT_6_unstained,MX
0.499,0.121,124,72,2021-05-06_WT_6_unstained,MX
0.493,0.252,123,242,2021-05-06_WT_6_unstained,MX
0.411,0.103,125,119,2021-05-06_WT_6_unstained,MX
0.474,0.104,123,128,2021-05-06_WT_6_unstained,XF
0.463,0.099,122,191,2021-05-06_WT_6_unstained,XF
0.485,0.138,123,70,2021-05-06_WT_6_unstained,XF
0.532,0.169,122,42,2021-05-06_WT_6_unstained,XF
0.529,0.188,123,7,2021-05-06_WT_6_unstained,XF
0.543,0.136,124,112,2021-05-06_WT_6_unstained,XF
0.522,0.147,123,128,2021-05-06_WT_6_unstained,XF
0.546,0.132,124,156,2021-05-06_WT_6_unstained,XF
0.548,0.175,123,213,2021-05-06_WT_6_unstained,XF
0.532,0.142,123,170,2021-05-06_WT_6_unstained,XF
0.537,0.168,123,31,2021-05-06_WT_6_unstained,XF
0.541,0.158,123,195,2021-05-06_WT_6_unstained,XF
0.543,0.134,123,42,2021-05-06_WT_6_unstained,XF
0.571,0.173,123,234,2021-05-06_WT_6_unstained,XF
0.546,0.095,124,128,2021-05-06_WT_6_unstained,XF
0.518,0.112,124,119,2021-05-06_WT_6_unstained,XF
